sadf,scientificName,scientificNameAuthorship,genericcolumn1,locality,associatedTaxa,recordedBy,associatedCollectors,samplingEffort,locationRemarks,occurrenceRemarks,genericcolumn2,substrate,habitat,individualCount,reproductiveCondition,establishmentMeans,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,country,stateProvince,county,municipality,path,catalogNumber,identifiedBy,dateIdentified,otherCatalogNumbers,Unnamed: 30
2018-05-30,Carex physorhyncha,,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .3 miles from parking lot. Xeric site with sandstone outcrops, Amelanchier dominant.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00399,-86.05879,21.238,508,,,,,,,,,7-611,
2018-05-30,Vaccinium pallidum,Ait.,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .3 miles from parking lot. Xeric site with sandstone outcrops, Amelanchier dominant.","Carex complanata, Gillenia stipulata, Juncus tenuis, Rhynchospora capitellata, Carex hirsutella, Scleria triglomerata, Asplenium platyneuron, Amelanchier canadensis, Polystichum acrostichoides, Sassafras albidum, Carya alba, Carya glabra, Coreopsis major, Cornus florida, Euonymus americanus, Fagus grandifolia, Ilex montana, Panicum clandestinum, Quercus alba, Sanguinaria canadensis, Smilax rotundifolia, Tephrosia virginiana, Vaccinium arboreum, Viburnum acerifolium, Robinia pseudoacacia, Ilex longipes","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00399,-86.05879,21.238,508,US,Tennessee,Franklin County,Belvidere,,,Alexis Boyd,,7-491,
2018-05-30,Viburnum acerifolium,L.,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .3 miles from parking lot. Xeric site with sandstone outcrops, Amelanchier dominant.","Carex complanata, Gillenia stipulata, Juncus tenuis, Rhynchospora capitellata, Carex hirsutella, Scleria triglomerata, Asplenium platyneuron, Amelanchier canadensis, Polystichum acrostichoides, Sassafras albidum, Carya alba, Carya glabra, Coreopsis major, Cornus florida, Euonymus americanus, Fagus grandifolia, Ilex montana, Panicum clandestinum, Quercus alba, Sanguinaria canadensis, Smilax rotundifolia, Tephrosia virginiana, Vaccinium arboreum, Vaccinium pallidum, Robinia pseudoacacia, Ilex longipes","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00399,-86.05879,21.238,508,US,Tennessee,Franklin County,Belvidere,,,Alexis Boyd,,7-486,
2018-05-30,Carex rosea,,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .3 miles from parking lot. Xeric site with sandstone outcrops, Amelanchier dominant.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00399,-86.05879,21.238,508,,,,,,,,,7-4,
2018-05-30,Vaccinium pallidum,,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .3 miles from parking lot. Xeric site with sandstone outcrops, Amelanchier dominant.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00399,-86.05879,21.238,508,,,,,,,,,7-3,
2018-05-30,Carex complanata,Torr. & Hook.,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .3 miles from parking lot. Xeric site with sandstone outcrops, Amelanchier dominant.","Gillenia stipulata, Juncus tenuis, Rhynchospora capitellata, Carex hirsutella, Scleria triglomerata, Asplenium platyneuron, Amelanchier canadensis, Polystichum acrostichoides, Sassafras albidum, Carya alba, Carya glabra, Coreopsis major, Cornus florida, Euonymus americanus, Fagus grandifolia, Ilex montana, Panicum clandestinum, Quercus alba, Sanguinaria canadensis, Smilax rotundifolia, Tephrosia virginiana, Vaccinium arboreum, Vaccinium pallidum, Viburnum acerifolium, Robinia pseudoacacia, Ilex longipes","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00399,-86.05879,21.238,508,US,Tennessee,Franklin County,Belvidere,,,Jade Harry,,7-186,
2018-05-30,,,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .3 miles from parking lot. Xeric site with sandstone outcrops, Amelanchier dominant.","Carex complanata, Gillenia stipulata, Juncus tenuis, Rhynchospora capitellata, Carex hirsutella, Scleria triglomerata, Asplenium platyneuron, Amelanchier canadensis, Polystichum acrostichoides, Sassafras albidum, Carya alba, Carya glabra, Coreopsis major, Cornus florida, Euonymus americanus, Fagus grandifolia, Ilex montana, Panicum clandestinum, Quercus alba, Sanguinaria canadensis, Smilax rotundifolia, Tephrosia virginiana, Vaccinium arboreum, Vaccinium pallidum, Viburnum acerifolium, Robinia pseudoacacia, Ilex longipes","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00399,-86.05879,21.238,508,,,,,,,,,7-#,
2018-05-30,Houstonia purpurea,L.,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .25 miles from parking lot as trail begins to gently descend from plateau.","Acer saccharum, Amelanchier arborea, Lindera benzoin, Chimaphila maculata, Polystichum acrostichoides, Caulophyllum thalictroides","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,Sandstone boulder,,,,35.00318,-86.05915,21.238,564,US,Tennessee,Franklin County,Belvidere,,,Carina Houck,,6-530,
2018-05-30,Smilax rotundifolia,,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .25 miles from parking lot as trail begins to gently descend from plateau.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00318,-86.05915,21.238,564,,,,,,,,,6-3,
2018-05-30,Coreopsis major,,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .25 miles from parking lot as trail begins to gently descend from plateau.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00318,-86.05915,21.238,564,,,,,,,,,6-1,
2018-05-30,,,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .25 miles from parking lot as trail begins to gently descend from plateau.","Acer saccharum, Amelanchier arborea, Lindera benzoin, Chimaphila maculata, Houstonia purpurea, Polystichum acrostichoides, Caulophyllum thalictroides","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,Sandstone boulder,,,,35.00318,-86.05915,21.238,564,,,,,,,,,6-#,
2018-06-15,,,,"US, North Carolina, Haywood County, Canton. Black Balsam Knob, a high elevation, grassy bald along Art Loeb trail.",Festuca rubra,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of North Carolina,,,,,,,,,35.32766,-82.87404,19.296,1861,,,,,,,,,52-#,
2018-06-15,Carex lonchocarpa,,,"US, North Carolina, Macon County, Highlands. Glen Falls Trail, approximately .5 miles from parking lot. Forested, acidic site dominated by Rhododenron maximum.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of North Carolina,,,,,,,,,35.03293,-83.23582,24.656,1660,,,,,,,,,50-1,
2018-06-15,,,,,,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of North Carolina,,,,,,,,,35.30521,-82.8991,24.656,1660,,,,,,,,,50-#,
2018-05-30,Viburnum acerifolium,,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00017,-86.05676,13.653,478,,,,,,,,,5-9,
2018-05-30,Euonymus americana,,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00017,-86.05676,13.653,478,,,,,,,,,5-8,
2018-05-30,Amelanchier arborea,,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00017,-86.05676,13.653,478,,,,,,,,,5-7,
2018-05-30,Crataegus iracunda,Beadle,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.","Rosa carolina, Penstemon pallidus, Coreopsis major, Dioscorea villosa, Houstonia purpurea var. purpurea, Polymnia laevigata, Quercus velutina, Sassafras albidum, Vaccinium arboreum, Vaccinium pallidum, Amelanchier arborea, Carex hirsutella, Houstonia caerulea, Nyssaceae sylvatica var. sylvatica, Quercus pagoda, Tephrosia spicata, Quercus stellata, Carya alba, Panicum clandestinum","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,Dry upland forest,,,,35.00017,-86.05676,13.653,478,US,Tennessee,Franklin County,Sherwood,,,Braxton Hern,,5-565,
2018-05-30,Amelanchier arborea,(Michx.) Fernald,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.","Rosa carolina, Penstemon pallidus, Coreopsis major, Dioscorea villosa, Houstonia purpurea var. purpurea, Polymnia laevigata, Quercus velutina, Sassafras albidum, Vaccinium arboreum, Vaccinium pallidum, Carex hirsutella, Crataegus iracunda, Houstonia caerulea, Nyssaceae sylvatica var. sylvatica, Quercus pagoda, Tephrosia spicata, Quercus stellata, Carya alba, Panicum clandestinum","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,Dry upland forest,,,,35.00017,-86.05676,13.653,478,US,Tennessee,Franklin County,Sherwood,,,Braxton Hern,,5-564,
2018-05-30,Vaccinium pallidum,,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00017,-86.05676,13.653,478,,,,,,,,,5-527,
2018-05-30,Vaccinium pallidum,,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00017,-86.05676,13.653,478,,,,,,,,,5-526,
2018-05-30,Vaccinium arboreum,Marsh.,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.","Rosa carolina, Penstemon pallidus, Coreopsis major, Dioscorea villosa, Houstonia purpurea var. purpurea, Polymnia laevigata, Quercus velutina, Sassafras albidum, Vaccinium pallidum, Amelanchier arborea, Carex hirsutella, Crataegus iracunda, Houstonia caerulea, Nyssaceae sylvatica var. sylvatica, Quercus pagoda, Tephrosia spicata, Quercus stellata, Carya alba, Panicum clandestinum","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,Dry upland forest,,,,35.00017,-86.05676,13.653,478,US,Tennessee,Franklin County,Sherwood,,,Carina Houck,,5-523,
2018-05-30,Vaccinium pallidum,,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00017,-86.05676,13.653,478,,,,,,,,,5-5,
2018-05-30,Fagus grandifolia,,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00017,-86.05676,13.653,478,,,,,,,,,5-344,
2018-05-30,Coreopsis major,,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00017,-86.05676,13.653,478,,,,,,,,,5-3,
2018-05-30,Amelanchier canadensis,,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.","Rosa carolina, Penstemon pallidus, Coreopsis major, Dioscorea villosa, Houstonia purpurea var. purpurea, Polymnia laevigata, Quercus velutina, Sassafras albidum, Vaccinium arboreum, Vaccinium pallidum, Amelanchier arborea, Carex hirsutella, Crataegus iracunda, Houstonia caerulea, Nyssaceae sylvatica var. sylvatica, Quercus pagoda, Tephrosia spicata, Quercus stellata, Carya alba, Panicum clandestinum","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,Dry upland forest,,,,35.00017,-86.05676,13.653,478,US,Tennessee,Franklin County,Sherwood,,,,,5-286,
2018-05-30,Quercus stellata,Wangenh.,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.","Rosa carolina, Penstemon pallidus, Coreopsis major, Dioscorea villosa, Houstonia purpurea var. purpurea, Polymnia laevigata, Quercus velutina, Sassafras albidum, Vaccinium arboreum, Vaccinium pallidum, Amelanchier arborea, Carex hirsutella, Crataegus iracunda, Houstonia caerulea, Nyssaceae sylvatica var. sylvatica, Quercus pagoda, Tephrosia spicata, Carya alba, Panicum clandestinum","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,Dry upland forest,,,,35.00017,-86.05676,13.653,478,US,Tennessee,Franklin County,Sherwood,,,Megon Stepaniuk,,5-218,
2018-05-30,Crataegus iracunda,,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00017,-86.05676,13.653,478,,,,,,,,,5-2,
2018-05-30,Cornus florida,,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00017,-86.05676,13.653,478,,,,,,,,,5-100,
2018-05-30,Vaccinium corymbosum,,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00017,-86.05676,13.653,478,,,,,,,,,5-10,
2018-05-30,Crataegus iracunda,,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00017,-86.05676,13.653,478,,,,,,,,,5-10,
2018-05-30,,,,"US, Tennessee, Franklin County, Sherwood. Walls of Jericho Trail, approximately .2 mi along trail from parking lot in sandstone-dominant substrate of plateau.","Rosa carolina, Penstemon pallidus, Coreopsis major, Dioscorea villosa, Houstonia purpurea var. purpurea, Polymnia laevigata, Quercus velutina, Sassafras albidum, Vaccinium arboreum, Vaccinium pallidum, Amelanchier arborea, Carex hirsutella, Crataegus iracunda, Houstonia caerulea, Nyssaceae sylvatica var. sylvatica, Quercus pagoda, Tephrosia spicata, Quercus stellata, Carya alba, Panicum clandestinum","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,Dry upland forest,,,,35.00017,-86.05676,13.653,478,,,,,,,,,5-#,
2018-06-16,Krigia montana,,,"US, North Carolina, Macon County, Highlands. Glen Falls Trail, approximately .5 miles from parking lot. Forested, acidic site dominated by Rhododenron maximum.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of North Carolina,,,,,,,,,35.03293,-83.23582,48.24,970,,,,,,,,,49-2,
2018-06-15,Krigia montana,,,"US, North Carolina, Macon County, Highlands. Glen Falls Trail, approximately .5 miles from parking lot. Forested, acidic site dominated by Rhododenron maximum.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of North Carolina,,,,,,,,,35.03293,-83.23582,48.24,970,,,,,,,,,49-1,
2018-06-15,,,,"US, North Carolina, Macon County, Highlands. Glen Falls Trail, approximately .5 miles from parking lot. Forested, acidic site dominated by Rhododenron maximum.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of North Carolina,,,,,,,,,35.03172,-83.23853,48.24,970,,,,,,,,,49-#,
2018-06-15,Carex interior,,,"US, North Carolina, Macon County, Highlands. Glen Falls Trail, approximately .5 miles from parking lot. Forested, acidic site dominated by Rhododenron maximum.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of North Carolina,,,,,,,,,35.03293,-83.23582,15.008,1035,,,,,,,,,48-3,
2018-06-15,Achillea millefolium,,,"US, North Carolina, Macon County, Highlands. Glen Falls Trail, approximately .5 miles from parking lot. Forested, acidic site dominated by Rhododenron maximum.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of North Carolina,,,,,,,,,35.03293,-83.23582,15.008,1035,,,,,,,,,48-2,
2018-06-15,Achillea millefolium,,,"US, North Carolina, Macon County, Highlands. Glen Falls Trail, approximately .5 miles from parking lot. Forested, acidic site dominated by Rhododenron maximum.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of North Carolina,,,,,,,,,35.03293,-83.23582,15.008,1035,,,,,,,,,48-1,
2018-06-15,,,,"US, North Carolina, Macon County, Highlands. Glen Falls Trail, approximately .5 miles from parking lot. Forested, acidic site dominated by Rhododenron maximum.","Viburnum cassinoides, Viburnum nudum cassinoides, Silene virginica var robusta, Houstonia purperea var. purperea, Monotropa uniflora, Thalictrum hepaticum, Houstonia purperea, Houstonia purperea var. purpurea, Houstonia purpurea var. purpurea, Castanea dentata, Oenothera fruticosa glauca, Thalictrum pubescens, Medeola virginiana, Silene virginica","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of North Carolina,,,,,,,,,35.03293,-83.23582,15.008,1035,,,,,,,,,48-#,
2018-06-14,,,,"US, North Carolina, Macon County, Highlands. Species planted along the Station's Nature Trail","Dryopteridaceae dryopteris, Dryopteris göldiana, Buckleya distichophylla, Hydrophylla canadense, Menziesia pilosa, Michrathes petiolaris, Dryopteris goldiana, Hydrophyllum canadense, Baptisia albescens, Kalmia buxifolia, Lindera benzoin, Picea rubens, Rhododendron maximum","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of North Carolina,,,,,,,,,35.053896,-83.189388,24.656,1126,,,,,,,,,46-#,
2018-06-13,Fraxinus americana,,,"US, North Carolina, Jackson County, Glenville. Panthertown Valley Bog. Permanently inundated, acidic site with open canopy, dominated by cinnamon ferns, seedling maples, sedges, rushes, grasses, ericads.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of North Carolina,,,,,,,,,35.16612,-83.0239,24.656,1126,,,,,,,,,45-125,
2018-06-13,Fraxinus americana,,,"US, North Carolina, Jackson County, Glenville. Panthertown Valley Bog. Permanently inundated, acidic site with open canopy, dominated by cinnamon ferns, seedling maples, sedges, rushes, grasses, ericads.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of North Carolina,,,,,,,,,35.16612,-83.0239,24.656,1126,,,,,,,,,45-124,
